skill_id,certificate_id
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
8,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
3,3
5,3
12,3
11,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,4
40,4
41,4
42,4
43,4
44,4
45,4
46,4
47,4
48,4
49,4
36,4
12,4
34,4
50,5
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,5
61,5
62,5
21,5
23,5
59,6
63,6
64,6
65,6
66,6
67,6
68,6
69,6
70,6
12,8
7,8
2,8
30,8
71,8
72,8
73,8
74,8
75,8
76,8
77,8
1,8
78,9
79,9
80,9
81,9
82,9
83,9
44,9
9,9
33,9
32,9
4,9
11,9
5,9
47,9
29,9
24,9
12,9
87,10
86,10
85,10
84,10
64,10
21,11
14,11
35,11
47,11
23,11
19,11
18,11
8,11
13,11
24,11
25,11
3,11
88,11
89,11
90,11
91,11
91,9
92,12
93,12
94,12
95,12
96,12
97,12
98,12
99,12
100,12
101,12
102,12
51,12
50,12
61,12
22,12
56,12
55,12
60,12
53,12
49,13
87,13
80,13
103,13
104,13
105,13
106,13
107,13
108,13
109,13
110,13
111,13
112,13
113,13
114,13
115,13
116,13
117,14
85,14
12,15
33,15
60,15
49,15
4,15
19,15
9,15
77,15
76,15
108,15
1,15
47,15
73,15
74,16
76,16
12,16
66,16
7,16
73,16
118,16
119,16
120,16
7,18
62,18
119,19
121,19
8,20
23,20
85,20
12,20
40,20
36,20
33,20
58,20
71,20
76,20
11,21
37,21
35,21
125,22
124,22
123,22
122,22
119,22
118,22
126,22
127,23
128,23
129,23
130,23
131,23
132,23
133,23
134,23
135,23
136,23
137,23
138,23
139,23
140,23
141,23
142,23
143,24
144,24
145,24
146,24
147,24
148,24
149,24
150,24
151,24
152,24
153,24
154,24
155,24
156,24
157,24
158,24
159,24
141,24
140,24
139,24
136,24
131,24
127,24
128,24
130,24
7,24
159,1
159,2
