skill_id,course_id
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
8,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
3,3
5,3
12,3
11,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,4
40,4
41,4
42,4
43,4
44,4
45,4
46,4
47,4
48,4
49,4
36,4
12,4
34,4
50,5
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,5
61,5
62,5
21,5
23,5
59,6
63,6
64,6
65,6
66,6
67,6
68,6
69,6
70,6
12,7
7,7
2,7
30,7
71,7
72,7
73,7
74,7
75,7
76,7
77,7
1,7
78,8
79,8
80,8
81,8
82,8
83,8
44,8
9,8
33,8
32,8
4,8
11,8
5,8
47,8
29,8
24,8
12,8
87,9
86,9
85,9
84,9
64,9
21,10
14,10
35,10
47,10
23,10
19,10
18,10
8,10
13,10
24,10
25,10
3,10
88,10
89,10
90,10
91,10
91,8
92,11
93,11
94,11
95,11
96,11
97,11
98,11
99,11
100,11
101,11
102,11
51,11
50,11
61,11
22,11
56,11
55,11
60,11
53,11
49,12
87,12
80,12
103,12
104,12
105,12
106,12
107,12
108,12
109,12
110,12
111,12
112,12
113,12
114,12
115,12
116,12
117,13
85,13
12,14
33,14
60,14
49,14
4,14
19,14
9,14
77,14
76,14
108,14
1,14
47,14
73,14
74,15
76,15
12,15
66,15
7,15
73,15
118,15
119,15
120,15
7,16
62,16
119,17
121,17
8,18
23,18
85,18
12,18
40,18
36,18
33,18
58,18
71,18
76,18
11,19
37,19
35,19
125,20
124,20
123,20
122,20
119,20
118,20
126,20
127,21
128,21
129,21
130,21
131,21
132,21
133,21
134,21
135,21
136,21
137,21
138,21
139,21
140,21
141,21
142,21
143,22
144,22
145,22
146,22
147,22
148,22
149,22
150,22
151,22
152,22
153,22
154,22
155,22
156,22
157,22
158,22
159,22
141,22
140,22
139,22
136,22
131,22
127,22
128,22
130,22
7,22
159,1
159,2
